亜	a
哀	a w a r e
愛	a i
悪	w a r ɯ i
握	n i ɡ i r ɯ
圧	a t͡ɕ ɯ
暗	k ɯ r a i
案	a n
以	i
位	k ɯ r a i
依	j o r ɯ
偉	e r a i
囲	k a k o ɯ
委	ɯ
威	i
意	i
異	k o t o n a r ɯ
移	ɯ t͡ɕ i k ɯ
維	i
緯	i
胃	i
違	t͡ɕ i ɡ a ɯ
遺	n o k o s ɯ
医	i
域	i k ɯ
育	s o d a t e r ɯ
一	h i t o t͡ɕ i
壱	i t͡ɕ i
逸	h a ɡ i r ɯ
稲	i n e
茨	i b a r a
芋	i m o
印	h a n k o
員	i n
因	i n
咽	n o d o
院	i n
陰	k a ɡ e
飲	n o m ɯ
隠	k a k ɯ r e r ɯ
韻	i n
右	m i ɡ i
宇	ɯ
羽	h a n e
雨	a m e
運	h a k o b ɯ
雲	k ɯ m o
営	i t o n a m ɯ
映	ɯ t͡ɕ i k ɯ
栄	s a k a e r ɯ
永	n a ɡ a i
泳	o j o ɡ ɯ
英	e i
衛	e i
液	e k i
疫	e k i
益	e k i
駅	e k i
悦	j o r o k o b ɯ
越	k o e r ɯ
謁	e t͡ɕ i
閲	e t͡ɕ i
円	m a r ɯ
縁	e n
遠	t o i
演	e n
鉛	n a m a r i
塩	ɕ i o
汚	k i t a n a i
奥	o k ɯ
横	j o k o
王	o ɯ
欧	o ɯ
殴	n a ɡ ɯ r ɯ
翁	o k i n a
沖	o k i
億	o k ɯ
温	a t a t a k a i
下	ɕ i t a
仮	k a r i
何	n a n i
花	h a n a
価	n e d a n
果	h a t e
河	k a w a
科	k a
夏	n a t͡ɕ ɯ
家	i e
荷	n i
菓	k a ɕ i
課	k a
歌	ɯ t a
火	h i
加	k ɯ w a e r ɯ
可	j o i
我	w a r e
牙	k i b a
画	e
芽	m e
介	k a i
会	k a i
解	t o k ɯ
回	m a w a r ɯ
塊	k a t a m a r i
快	k a i k ɯ
戒	i m a ɕ i m e r ɯ
改	a r a t a m e r ɯ
海	ɯ m i
開	h i r a k ɯ
階	k a i d a n
貝	k a i
外	s o t o
害	ɡ a i
崖	ɡ a k e
概	ɡ a i
格	k a k ɯ
核	k a k ɯ
確	t a ɕ i k a
拡	h i r o ɡ e r ɯ
覚	o b o e r ɯ
学	m a n a b ɯ
岳	t a k e
楽	t a n o ɕ i i
額	h i t a i
掛	k a k e r ɯ
滑	n a m e r a k a
割	w a r ɯ
活	k a t͡ɕ ɯ
巻	m a k ɯ
管	k a n
感	k a n
幹	m i k i
漢	k a n
監	k a n
慣	n a r e r ɯ
環	w a
間	a i d a
簡	k a n t a n
観	m i r ɯ
館	j a k a t a
願	n e ɡ a i
危	a b ɯ n a i
基	m o t o
奇	k i
規	n o r i
記	ɕ i r ɯ s ɯ
帰	k a e r ɯ
期	k i
機	k i k a i
旗	h a t a
気	k i
祈	i n o r ɯ
季	k i
紀	k i
貴	t o ɯ t o i
棄	s ɯ t e r ɯ
疑	ɯ t a ɡ a ɯ
義	ɡ i
技	w a z a
議	ɡ i
宜	j o r o ɕ i i
犠	ɡ i
救	s ɯ k ɯ ɯ
休	j a s ɯ m ɯ
及	o j o b ɯ
吸	s ɯ ɯ
球	t a m a
給	k j ɯː ɯ
宮	m i j a
急	i s o ɡ ɯ
弓	j ɯ m i
泣	n a k ɯ
丘	o k a
久	h i s a ɕ i i
究	s a ɡ a s ɯ
居	i r ɯ
巨	ɡ o
挙	a ɡ e r ɯ
漁	r j o ɯ
許	j ɯ r ɯ s ɯ
距	k j o r i
拒	k o b a m ɯ
去	s a r ɯ
協	k j o ɯ
境	s a k a i
橋	h a ɕ i
競	k j o ɯ s o ɯ
共	t o m o
教	o ɕ i e r ɯ
強	t͡ɕ i k a r a
胸	m ɯ n e
興	k j o ɯ
驚	o d o r o k ɯ
凝	k o r ɯ
供	t o m o n i
極	k j o k ɯ
玉	t a m a
金	k a n e
近	t͡ɕ i k a i
区	k ɯ
空	s o r a
句	k ɯ
苦	k ɯ r ɯ ɕ i i
靴	k ɯ t͡ɕ i
偶	ɡ ɯː ɯ
遇	a ɯ
具	d o ɯ ɡ ɯ
軍	ɡ ɯ n
群	m ɯ r e
形	k a t a t͡ɕ i
経	h e r ɯ
警	k e i
迎	m ɯ k a e r ɯ
芸	ɡ e i
傾	k a t a m ɯ k ɯ
恵	m e ɡ ɯ m i
計	h a k a r ɯ
敬	a j a m a r ɯ
景	k e ɕ i k i
月	t s ɯ k i
穴	a n a
決	k i m e r ɯ
欠	k a k e r ɯ
結	m ɯ s ɯ b ɯ
血	t͡ɕ i
原	h a r a
源	m i n a m o t o
現	a r a w a r e r ɯ
限	k a ɡ i r ɯ
減	h e r ɯ
権	k e n
後	a t o
語	k o t o b a
互	t a ɡ a i n i
個	k o
戸	t o
古	f ɯ r ɯ i
呼	j o b ɯ
固	k a t a i
故	j ɯ e
誤	a j a m a t͡ɕ i
護	m a m o r ɯ
五	i t͡ɕ ɯ
午	ɡ o
公	o ɯ j a k e
工	k ɯ
功	k o ɯ
光	h i k a r i
向	m ɯ k ɯ
国	k ɯ n i
困	k o m a r ɯ
婚	k o n
混	m a z e r ɯ
根	n e
控	h i k a e r ɯ
考	k a n ɡ a e r ɯ
構	k o ɯ z o ɯ
港	m i n a t o
皇	k o ɯ
行	i k ɯ
降	o r i r ɯ
高	t a k a i
鋼	h a ɡ a n e
号	ɡ o ɯ
骨	h o n e
今	i m a
差	s a
再	f ɯ t a t a b i
細	h o s o i
財	z a i
材	z a i
在	a r ɯ
罪	t͡ɕ ɯ m i
際	s a i
最	m o t t o m o
彩	i r o d o r i
才	s a i
採	t o r ɯ
策	s a k ɯ
殺	k o r o s ɯ
三	m i t t͡ɕ i
山	j a m a
産	ɯ m ɯ
残	n o k o r ɯ
参	m a i r ɯ
散	t͡ɕ i r ɯ
桜	s a k ɯ r a
皿	s a r a
酒	s a k e
砂	s ɯ n a
左	h i d a r i
坂	s a k a
志	k o k o r o z a ɕ i
支	s a s a e r ɯ
止	t o m a r ɯ
死	ɕ i n ɯ
使	t͡ɕ i k a ɯ
詩	ɕ i
私	w a t a ɕ i
視	m i r ɯ
試	t a m e s ɯ
資	s ɯ r ɯ
事	k o t o
字	m o d ʑ i
時	t o k i
示	ɕ i m e s ɯ
耳	m i m i
自	d ʑ i b ɯ n
軸	d ʑ i k ɯ
実	m i n o r ɯ
室	h e j a
質	ɕ i t͡ɕ ɯ
舎	j a
写	ɯ t s ɯ s ɯ
者	m o n o
射	i r ɯ
斜	n a n a m e
借	k a r i r ɯ
社	ɕ a
若	w a k a i
弱	j o w a i
式	ɕ i k i
識	ɕ i k i
失	ɕ i t͡ɕ ɯ
七	n a n a
島	ɕ i m a
霜	ɕ i m o
品	ɕ i n a
信	ɕ i n d ʑ i r ɯ
取	t o r ɯ
手	t e
受	ɯ k e r ɯ
授	s a z ɯ k e r ɯ
守	m a m o r ɯ
主	n ɯ ɕ i
種	t a n e
収	o s a m e r ɯ
修	n a r a ɯ
周	m a w a r i
秀	s ɯ ɯ r e r ɯ
集	a t͡ɕ ɯ m a r ɯ
住	s ɯ m ɯ
重	o m o i
出	d e r ɯ
術	d ʑ ɯ t͡ɕ ɯ
述	n o b e r ɯ
準	d ʑ ɯ n
順	d ʑ ɯ n
処	t o k o r o
初	h a d ʑ i m e
所	t o k o r o
書	k a k ɯ
勝	k a t͡ɕ ɯ
商	a k i n a ɯ
唱	t o n a e r ɯ
小	t͡ɕ i i s a i
少	s ɯ k o ɕ i
床	j ɯ k a
笑	w a r a ɯ
情	n a s a k e
消	k e s ɯ
焼	j a k ɯ
照	t e r ɯ
章	ɕ o ɯ
上	ɯ e
証	ɕ o ɯ k o
象	z o ɯ
色	i r o
数	k a z ɯ
末	s ɯ e
全	s ɯ b e t e
西	n i ɕ i
制	s e i
性	s e i
成	n a r ɯ
政	s e i
星	h o ɕ i
正	t a d a ɕ i i
清	k i j o m e r ɯ
生	i k i r ɯ
声	k o e
責	s e m e r ɯ
積	t͡ɕ ɯ m ɯ
設	m o ɯ k e r ɯ
切	k i r ɯ
石	i ɕ i
節	f ɯ ɕ i
説	s e t s ɯ
先	s a k i
線	s e n
船	f ɯ n e
戦	t a t a k a ɯ
選	e r a b ɯ
専	s e n
背	s e n a k a
争	a r a s o ɯ
早	h a j a i
送	o k ɯ r ɯ
草	k ɯ s a
相	s o ɯ
束	t a b a
速	h a j a s a
族	k a z o k ɯ
続	t͡ɕ ɯ d ʑ ɯ k ɯ
存	s o n z a i
損	s o n
底	s o k o
素	s o
組	k ɯ m ɯ
層	s o ɯ
窓	m a d o
太	f ɯ t o i
代	j o
台	d a i
大	o o k i i
題	d a i
体	k a r a d a
対	m ɯ k a ɯ
帯	o b i
待	m a t͡ɕ ɯ
態	t a i d o
達	t a t͡ɕ i
他	h o k a
多	o o i
宅	t a k ɯ
単	t a n
男	o t o k o
探	s a ɡ a s ɯ
断	k i r ɯ
段	d a n
暖	a t a t a k a i
談	h a n a ɕ i
谷	t a n i
炭	s ɯ m i
竹	t a k e
値	n e d a n
知	ɕ i r ɯ
池	i k e
地	t͡ɕ i
着	k ɯ
父	t͡ɕ i t͡ɕ i
力	t͡ɕ i k a r a
中	n a k a
注	t͡ɕ ɯː ɯ m o k ɯ
帳	t͡ɕ o ɯ
長	n a ɡ a i
張	h a r ɯ
通	t o ɯ r ɯ
程	h o d o
点	t e n
展	h i r o ɡ e r ɯ
伝	t s ɯ t a e r ɯ
電	d e n k i
田	t a
次	t s ɯ ɡ i
土	t͡ɕ i t͡ɕ i
都	m i j a k o
度	t a b i
怒	o k o r ɯ
道	m i t͡ɕ i
動	ɯ ɡ o k ɯ
同	o n a d ʑ i
働	h a t a r a k ɯ
読	j o m ɯ
特	t o k ɯ
独	h i t o r i
冬	f ɯ j ɯ
刀	k a t a n a
登	n o b o r ɯ
問	t o ɯ
年	t o ɕ i
鳥	t o r i
内	ɯ t͡ɕ i
難	m ɯ z ɯ k a ɕ i i
肉	n i k ɯ
日	h i
入	h a i r ɯ
熱	a t͡ɕ i
農	n o ɯ
脳	n o ɯ
二	f ɯ t a t s ɯ
似	n i r ɯ
庭	n i w a
人	h i t o
伸	n o b i r ɯ
鳴	n a k ɯ
流	n a ɡ a r e r ɯ
並	n a r a b ɯ
習	n a r a ɯ
直	n a o s ɯ
仲	n a k a
南	m i n a m i
配	k ɯ b a r ɯ
買	k a ɯ
売	ɯ r ɯ
場	b a
白	ɕ i r o i
発	h a t͡ɕ ɯ
半	h a n b ɯ n
番	b a n
晩	b a n
板	i t a
彼	k a r e
比	k ɯ r a b e r ɯ
悲	k a n a ɕ i i
否	k o t o w a r ɯ
費	t͡ɕ i k a ɯ
飛	t o b ɯ
必	k a n a r a z ɯ
表	o m o t e
評	h j o ɯ k a
文	b ɯ n
聞	k i k ɯ
分	w a k e r ɯ
別	w a k e r ɯ
変	k a w a r ɯ
便	t a j o r i
返	k a e r ɯ
保	t a m o t͡ɕ ɯ
法	h o ɯ
報	t͡ɕ i r a s e r ɯ
豊	j ɯ t a k a
方	h o ɯ
北	k i t a
本	h o n
毎	m a i
名	n a m a e
明	a k i r a k a
目	m e
役	j a k ɯ
薬	k ɯ s ɯ r i
友	t o m o
由	j ɯ ɯ
有	a r ɯ
夕	j ɯː ɯ ɡ a t a
予	j o
世	j o
用	t͡ɕ ɯ k a ɯ
来	k ɯ r ɯ
理	w a r i
利	t o s e
良	j o i
旅	t a b i
両	r j o ɯ
話	h a n a ɕ i
和	j a w a r a ɡ ɯ
暁	a k a t s ɯ k i
秋	a k i
汗	a s e
朝	a s a
浅	a s a i
遊	a s o b ɯ
当	a t a r ɯ
与	a t a e r ɯ
歩	a r ɯ k ɯ
荒	a r a i
嵐	a r a ɕ i
甘	a m a i
赤	a k a i
青	a o i
味	a d ʑ i
落	o t͡ɕ i r ɯ
起	o k i r ɯ
置	o k ɯ
踊	o d o r ɯ
老	o i r ɯ
押	o s ɯ
面	o m o t e
折	o r ɯ
終	o w a r ɯ
壁	k a b e
鏡	k a ɡ a m i
霧	k i r i
言	i ɯ
命	i n o t͡ɕ i
痛	i t a i
犬	i n ɯ
猫	n e k o
魚	s a k a n a
馬	ɯ m a
牛	ɯ ɕ i
豚	b ɯ t a
鶏	n i w a t o r i
虎	t o r a
熊	k ɯ m a
狐	k i t s ɯ n e
兎	ɯ s a ɡ i
羊	h i t s ɯ d ʑ i
猿	s a r ɯ
蛇	h e b i
蛙	k a e r ɯ
亀	k a m e
蝶	t͡ɕ o ɯ t͡ɕ o ɯ
蜂	h a t͡ɕ i
蟹	k a n i
烏	k a r a s ɯ
鷹	t a k a
鶴	t s ɯ r ɯ
頭	a t a m a
顔	k a o
鼻	h a n a
口	k ɯ t͡ɕ i
舌	ɕ i t a
歯	h a
首	k ɯ b i
肩	k a t a
腕	ɯ d e
指	j ɯ b i
腹	h a r a
足	a ɕ i
膝	h i z a
腰	k o ɕ i
髪	k a m i
心	k o k o r o
皮	k a w a
川	k a w a
風	k a z e
林	h a j a ɕ i
森	m o r i
音	o t o
影	k a ɡ e
香	k a o r i
軽	k a r ɯ i
黒	k ɯ r o i
橙	d a i d a i
緑	m i d o r i
紫	m ɯ r a s a k i
茶	t͡ɕ a
銀	ɡ i n
昔	m ɯ k a ɕ i
前	m a e
豆	m a m e
枕	m a k ɯ r a
見	m i r ɯ
短	m i d ʑ i k a i
店	m i s e
皆	m i n a
丸	m a r ɯ
娘	m ɯ s ɯ m e
虫	m ɯ ɕ i
村	m ɯ r a
物	m o n o
申	m o ɯ s ɯ
翌	j o k ɯ
優	j a s a ɕ i i
夢	j ɯ m e
雪	j ɯ k i
夜	j o r ɯ
喜	j o r o k o b ɯ
嫁	j o m e
料	r j o ɯ
量	r j o ɯ
略	r j a k ɯ
乱	m i d a r e r ɯ
陸	r i k ɯ
立	t a t͡ɕ ɯ
離	h a n a r e r ɯ
労	r o ɯ
路	m i t͡ɕ i
論	r o n
礼	r e i
令	r e i
例	t a t o e b a
連	t s ɯ r e r ɯ
列	r e t s ɯ
忘	w a s ɯ r e r ɯ
渡	w a t a r ɯ
狭	s e m a i
新	a t a r a ɕ i i
硬	k a t a i
柔	j a w a r a k a i
深	f ɯ k a i
遅	o s o i
厚	a t s ɯ i
辛	k a r a i
酸	s ɯ p p a i
黄	k i i r o
四	j o t t͡ɕ i
六	m ɯ t t͡ɕ i
八	j a t t͡ɕ i
九	k o k o n o t͡ɕ i
十	t o ɯ
百	h j a k ɯ
千	s e n
万	m a n
木	k i
水	m i z ɯ
春	h a r ɯ
東	h i ɡ a ɕ i
昼	h i r ɯ
広	h i r o i
低	h i k ɯ i
拾	h i r o ɯ
冷	h i j a k e r ɯ
箸	h a ɕ i
薄	ɕ i n n a i
芝	ɕ i b a
貸	k a s ɯ
悩	n a j a m ɯ
怖	k o w a i
眠	n e m ɯ r ɯ
寒	s a m ɯ i
暑	a t͡ɕ i i
痩	j a s e r ɯ
叫	s a k e b ɯ
走	h a ɕ i r ɯ
跳	t o b ɯ
引	h i k ɯ
打	ɯ t͡ɕ ɯ
閉	t o d ʑ i r ɯ
持	m o t͡ɕ ɯ
食	t a b e r ɯ
描	k a k ɯ
寝	n e r ɯ
座	s ɯ w a r ɯ
咲	s a k ɯ
枯	k a r e r ɯ
鼓	t a i k o
笛	f ɯ e
弦	i t o
琴	k o t o
鍵	k a ɡ i
鐘	k a n e
鈴	s ɯ z ɯ
盾	t a t e
矢	j a
剣	t s ɯ r u ɡ i
槍	j a r i
甲	k o ɯ r a
兜	k a b ɯ t o
鎧	j o r o i
城	ɕ i r o
寺	t e r a
神	k a m i
仏	h o t o k e
坊	b o ɯ
殿	t o n o
町	m a t͡ɕ i
市	i t͡ɕ i
峠	t o ɡ e
岩	i w a
滝	t a k i
湖	m i z ɯ ɯ m i
浜	h a m a
岸	k i ɕ i
洞	d o ɯ k ɯ t s ɯ
雷	k a m i n a r i
氷	k o o r i
虹	n i d ʑ i
霞	k a s ɯ m i
暮	k ɯ r e
昨	s a k ɯ
親	o j a
母	h a h a
兄	a n i
姉	a n e
弟	o t o ɯ t o
妹	i m o ɯ t o
祖	s o
孫	m a ɡ o
夫	o t t o
妻	t s ɯ m a
子	k o
息	m ɯ s ɯ k o
叔	o d ʑ i
甥	o i
姪	m e i
従	i t o k o
恋	k o i
希	k i b o ɯ
望	n o z o m ɯ
幸	ɕ i a w a s e
恐	o s o r e
惜	o ɕ i i
懐	n a t s ɯ k a ɕ i i
恥	h a d ʑ i
誇	h o k o r i
誉	h o m e r ɯ
傷	k i z ɯ
病	j a m a i
