abdi	a b d i
acan	a tʃ a n
acara	a tʃ a r a
adeg	a d ə ɡ
ageung	a ɡ ɯ ŋ
agul	a ɡ u l
aheng	a h ə ŋ
ahli	a h l i
aing	a i ŋ
ajar	a dʒ a r
ajeg	a dʒ ə ɡ
aki	a k i
alam	a l a m
alus	a l u s
amis	a m i s
ampir	a m p i r
anaking	a n a k i ŋ
anggur	a ŋ ɡ u r
angkat	a ŋ k a t
angin	a ŋ i n
anteur	a n t ɯ r
anyar	a ɲ a r
apal	a p a l
ari	a r i
artos	a r t o s
asih	a s i h
asup	a s u p
atah	a t a h
atawa	a t a w a
aya	a j a
ayeuna	a j ɯ n a
babagi	b a b a ɡ i
badag	b a d a ɡ
badami	b a d a m i
baju	b a dʒ u
balik	b a l i k
banget	b a ŋ ə t
bangsa	b a ŋ s a
barudak	b a r u d a k
basa	b a s a
batik	b a t i k
batu	b a t u
bebeja	b ə b ə dʒ a
bekel	b ə k ə l
bener	b ə n ə r
beunang	b ɯ n a ŋ
beunghar	b ɯ ŋ h a r
beungeut	b ɯ ŋ ɯ t
bihari	b i h a r i
bijil	b i dʒ i l
bisa	b i s a
bogoh	b o ɡ o h
bogor	b o ɡ o r
bola	b o l a
boyot	b o j o t
bubur	b u b u r
budak	b u d a k
buku	b u k u
bulan	b u l a n
bumi	b u m i
buyut	b u j u t
caang	tʃ a a ŋ
cai	tʃ a i
calana	tʃ a l a n a
campur	tʃ a m p u r
capek	tʃ a p ə k
carita	tʃ a r i t a
cekel	tʃ ə k ə l
celuk	tʃ ə l u k
cepil	tʃ ə p i l
ceuk	tʃ ɯ k
ceurik	tʃ ɯ r i k
cigul	tʃ i ɡ u l
cikur	tʃ i k u r
cinta	tʃ i n t a
cobi	tʃ o b i
cocog	tʃ o tʃ o ɡ
datang	d a t a ŋ
daun	d a u n
dayeuh	d a j ɯ h
deet	d ɯ t
desa	d ə s a
deuheus	d ɯ h ɯ s
deui	d ɯ i
didieu	d i d i ɯ
dinya	d i ɲ a
diri	d i r i
dongeng	d o ŋ ə ŋ
dua	d u a
dugi	d u ɡ i
duit	d u i t
dunya	d u ɲ a
enya	ə ɲ a
eta	ə t a
euih	ɯ i h
eukeur	ɯ k ɯ r
gado	ɡ a d o
galeuh	ɡ a l ɯ h
gancang	ɡ a n tʃ a ŋ
gede	ɡ ə d ə
gelap	ɡ ə l a p
gembira	ɡ ə m b i r a
geura	ɡ ɯ r a
geulis	ɡ ɯ l i s
girang	ɡ i r a ŋ
goblog	ɡ o b l o ɡ
goreng	ɡ o r ə ŋ
gunung	ɡ u n u ŋ
guru	ɡ u r u
hanca	h a n tʃ a
handap	h a n d a p
harita	h a r i t a
hartos	h a r t o s
hatur	h a t u r
herang	h ə r a ŋ
hese	h ə s ə
heurin	h ɯ r i n
hiji	h i dʒ i
hirup	h i r u p
hoream	h o r ə a m
hurip	h u r i p
ibu	i b u
ieu	i ɯ
iklas	i k l a s
ilang	i l a ŋ
indung	i n d u ŋ
indit	i n d i t
isuk	i s u k
itu	i t u
jaga	dʒ a ɡ a
jalan	dʒ a l a n
jalma	dʒ a l m a
jamak	dʒ a m a k
janari	dʒ a n a r i
jangkung	dʒ a ŋ k u ŋ
jauh	dʒ a u h
jero	dʒ ə r o
jeung	dʒ ɯ ŋ
jurig	dʒ u r i ɡ
jurusan	dʒ u r u s a n
kabeh	k a b ɯ h
kadieu	k a d i ɯ
kadinya	k a d i ɲ a
kaduhung	k a d u h u ŋ
kagok	k a ɡ o k
kahade	k a h a d ə
kaina	k a i n a
kalapa	k a l a p a
kalayan	k a l a j a n
kalbu	k a l b u
kaler	k a l ə r
kalimah	k a l i m a h
kalong	k a l o ŋ
kamari	k a m a r i
kana	k a n a
kandel	k a n d ə l
kasep	k a s ə p
kasih	k a s i h
kata	k a t a
kawin	k a w i n
kebat	k ə b a t
kebon	k ə b o n
kedal	k ə d a l
kehed	k ə h ə d
kelek	k ə l ə k
keneh	k ə n ɯ h
kering	k ə r i ŋ
keun	k ɯ n
keur	k ɯ r
keuyeup	k ɯ j ɯ p
ki	k i
kingkilaban	k i ŋ k i l a b a n
kirang	k i r a ŋ
kolot	k o l o t
komo	k o m o
korsi	k o r s i
kuduna	k u d u n a
kudu	k u d u
kulub	k u l u b
kunaon	k u n a o n
laer	l a ɯ r
lain	l a i n
laksana	l a k s a n a
lalaki	l a l a k i
lalar	l a l a r
lami	l a m i
langit	l a ŋ i t
laun	l a u n
layeut	l a j ɯ t
lebet	l ə b ə t
lemes	l ə m ə s
leuleus	l ɯ l ɯ s
leumpang	l ɯ m p a ŋ
leuweung	l ɯ w ɯ ŋ
lima	l i m a
linggih	l i ŋ ɡ i h
loba	l o b a
luhur	l u h u r
lulus	l u l u s
mahal	m a h a l
maju	m a dʒ u
maké	m a k e
malati	m a l a t i
mana	m a n a
mangga	m a ŋ ɡ a
mangkat	m a ŋ k a t
manuk	m a n u k
maot	m a o t
masak	m a s a k
masih	m a s i h
mayit	m a j i t
menak	m ə n a k
meuli	m ɯ l i
milik	m i l i k
milu	m i l u
mimiti	m i m i t i
mios	m i o s
moga	m o ɡ a
mojang	m o dʒ a ŋ
murah	m u r a h
mustahil	m u s t a h i l
naha	n a h a
najan	n a dʒ a n
nami	n a m i
neda	n ə d a
ngabagi	ŋ a b a ɡ i
ngadeg	ŋ a d ə ɡ
ngadon	ŋ a d o n
ngadukeun	ŋ a d u k ɯ n
ngajak	ŋ a dʒ a k
ngajawab	ŋ a dʒ a w a b
ngalakukeun	ŋ a l a k u k ɯ n
ngalamar	ŋ a l a m a r
ngalangkung	ŋ a l a ŋ k u ŋ
ngaliwat	ŋ a l i w a t
ngomong	ŋ o m o ŋ
ngorondang	ŋ o r o n d a ŋ
ngupat	ŋ u p a t
ngeunah	ŋ ɯ n a h
ngeusi	ŋ ɯ s i
niat	n i a t
niis	n i i s
nomer	n o m ə r
nuju	n u dʒ u
nyaho	ɲ a h o
nyaeta	ɲ a ɯ t a
nyakrak	ɲ a k r a k
nyalira	ɲ a l i r a
nyampak	ɲ a m p a k
nyaring	ɲ a r i ŋ
nyekel	ɲ ə k ə l
nyeri	ɲ ə r i
nyeuseup	ɲ ɯ s ɯ p
nyieun	ɲ i ɯ n
nyobian	ɲ o b i a n
olah	o l a h
omong	o m o ŋ
opat	o p a t
orang	o r a ŋ
osok	o s o k
paeh	p a ɯ h
pagawean	p a ɡ a w ə a n
pait	p a i t
pakean	p a k ə a n
paling	p a l i ŋ
pamajikan	p a m a dʒ i k a n
paman	p a m a n
pameget	p a m ə ɡ ə t
panon	p a n o n
panto	p a n t o
papay	p a p a j
pareng	p a r ə ŋ
pasti	p a s t i
pedah	p ə d a h
pelajar	p ə l a dʒ a r
pelita	p ə l i t a
perlu	p ə r l u
peuting	p ɯ t i ŋ
peurih	p ɯ r i h
pikir	p i k i r
pikeun	p i k ɯ n
pinuh	p i n u h
poé	p o e
poho	p o h o
puasa	p u a s a
puguh	p u ɡ u h
punten	p u n t ə n
raat	r a a t
rahayu	r a h a j u
raja	r a dʒ a
rajeun	r a dʒ ɯ n
raksasa	r a k s a s a
rakyat	r a k j a t
rasa	r a s a
réa	r e a
rebu	r ə b u
resep	r ə s ə p
reujeung	r ɯ dʒ ɯ ŋ
reueus	r ɯ ɯ s
riung	r i u ŋ
robot	r o b o t
rogoh	r o ɡ o h
ruksak	r u k s a k
rumah	r u m a h
saha	s a h a
sakit	s a k i t
sakola	s a k o l a
salah	s a l a h
salira	s a l i r a
salse	s a l s ə
saméméh	s a m e m ɯ h
sanés	s a n e s
sapertos	s a p ə r t o s
saré	s a r e
sareng	s a r ə ŋ
sato	s a t o
saurna	s a u r n a
sehak	s ə h a k
sela	s ə l a
senang	s ə n a ŋ
serab	s ə r a b
seug	s ɯ ɡ
seuri	s ɯ r i
seubeuh	s ɯ b ɯ h
sibuk	s i b u k
silih	s i l i h
situ	s i t u
soré	s o r e
suku	s u k u
sunda	s u n d a
tacan	t a tʃ a n
tadi	t a d i
tahun	t a h u n
tali	t a l i
tanda	t a n d a
tangtu	t a ŋ t u
tapak	t a p a k
tara	t a r a
teu	t ɯ
teuing	t ɯ i ŋ
tiasa	t i a s a
tilu	t i l u
timburu	t i m b u r u
tinggal	t i ŋ ɡ a l
toko	t o k o
tong	t o ŋ
tulisan	t u l i s a n
tumaros	t u m a r o s
turun	t u r u n
tutup	t u t u p
urang	u r a ŋ
uyah	u j a h
wajib	w a dʒ i b
wargi	w a r ɡ i
waos	w a o s
watek	w a t ə k
wawuh	w a w u h
wilujeng	w i l u dʒ ə ŋ
wios	w i o s
wungkul	w u ŋ k u l
yakin	j a k i n
yeuh	j ɯ h
yuswa	j u s w a
abad	a b a d
abong	a b o ŋ
aceng	a tʃ ə ŋ
aduh	a d u h
agama	a ɡ a m a
aheng	a h ə ŋ
akal	a k a l
akang	a k a ŋ
alim	a l i m
ambek	a m b ə k
ampun	a m p u n
andika	a n d i k a
anggang	a ŋ ɡ a ŋ
anom	a n o m
antep	a n t ə p
apan	a p a n
arék	a r e k
asak	a s a k
ateul	a t ɯ l
awak	a w a k
awet	a w ə t
ayah	a j a h
babari	b a b a r i
bageur	b a ɡ ɯ r
baka	b a k a
balad	b a l a d
bantu	b a n t u
batur	b a t u r
bayar	b a j a r
bedas	b ə d a s
belut	b ə l u t
berag	b ə r a ɡ
beubeut	b ɯ b ɯ t
beuki	b ɯ k i
beurang	b ɯ r a ŋ
bingung	b i ŋ u ŋ
boboko	b o b o k o
bohong	b o h o ŋ
bolay	b o l a j
buah	b u a h
buka	b u k a
cangkeum	tʃ a ŋ k ɯ m
caringan	tʃ a r i ŋ a n
catur	tʃ a t u r
cerah	tʃ ə r a h
ceuceub	tʃ ɯ tʃ ɯ b
cicing	tʃ i tʃ i ŋ
cocooan	tʃ o tʃ o a n
dadap	d a d a p
dahar	d a h a r
daki	d a k i
dangdut	d a ŋ d u t
darat	d a r a t
deukeut	d ɯ k ɯ t
dina	d i n a
dines	d i n ə s
ditanya	d i t a ɲ a
domba	d o m b a
doyan	d o j a n
embung	ə m b u ŋ
enggeus	ə ŋ ɡ ɯ s
entog	ə n t o ɡ
eureun	ɯ r ɯ n
euweuh	ɯ w ɯ h
gawe	ɡ a w ə
gebeg	ɡ ə b ə ɡ
gejul	ɡ ə dʒ u l
gelut	ɡ ə l u t
genteng	ɡ ə n t ə ŋ
gering	ɡ ə r i ŋ
gilig	ɡ i l i ɡ
ginding	ɡ i n d i ŋ
golér	ɡ o l e r
goréng	ɡ o r e ŋ
gusar	ɡ u s a r
guyur	ɡ u j u r
halis	h a l i s
hanacaraka	h a n a tʃ a r a k a
hanjakal	h a n dʒ a k a l
hariring	h a r i r i ŋ
haseup	h a s ɯ p
hawu	h a w u
hed	h ə d
hejo	h ə dʒ o
heula	h ɯ l a
hibar	h i b a r
hodor	h o d o r
hontal	h o n t a l
idealis	i d ə a l i s
imah	i m a h
incu	i n tʃ u
iris	i r i s
jabrig	dʒ a b r i ɡ
jaga	dʒ a ɡ a
jagong	dʒ a ɡ o ŋ
jampe	dʒ a m p ə
jangjang	dʒ a ŋ dʒ a ŋ
janglar	dʒ a ŋ l a r
jariji	dʒ a r i dʒ i
jatuh	dʒ a t u h
jejer	dʒ ə dʒ ə r
jelema	dʒ ə l ə m a
jenuk	dʒ ə n u k
jorojoy	dʒ o r o dʒ o j
juara	dʒ u a r a
kabagi	k a b a ɡ i
kadang	k a d a ŋ
kahiji	k a h i dʒ i
kakara	k a k a r a
kakayon	k a k a j o n
kalima	k a l i m a
kamari	k a m a r i
kanggo	k a ŋ ɡ o
kapungkur	k a p u ŋ k u r
karek	k a r ə k
kersa	k ə r s a
keukeuh	k ɯ k ɯ h
